Product,Status,Release Date,Code Name,Cores,P-Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Integrated Graphics
Core Ultra 5 135UL,Launched,Q2'24,Meteor Lake,12,2,14,4,4.40,1.60,57,12,Intel Smart Cache,96,Up to DDR5 5600 MT/s,N/A,Intel Graphics
Core Ultra 7 155HL,Launched,Q2'24,Meteor Lake,16,6,22,4,4.80,2.40,115,24,Intel Smart Cache,96,Up to DDR5 5600 MT/s,N/A,Intel Arc Graphics
Core Ultra 7 155UL,Launched,Q2'24,Meteor Lake,12,2,14,4,4.80,1.70,57,12,Intel Smart Cache,96,Up to DDR5 5600 MT/s,N/A,Intel Graphics
Core Ultra 7 165HL,Launched,Q2'24,Meteor Lake,16,6,22,4,5.00,1.40,115,24,Intel Smart Cache,96,Up to DDR5 5600 MT/s,N/A,Intel Arc Graphics
Core Ultra 7 165UL,Launched,Q2'24,Meteor Lake,12,2,14,4,4.90,1.70,57,12,Intel Smart Cache,96,Up to DDR5 5600 MT/s,N/A,Intel Graphics
Core Ultra 5 125H,Launched,Q4'23,Meteor Lake,14,4,18,4,4.50,1.20,115,18,Intel Smart Cache,96,"Up to LPDDR5/x 7467 MT/s, Up to DDR5 5600 MT/s",N/A,Intel Arc Graphics
Core Ultra 5 125U,Launched,Q4'23,Meteor Lake,12,2,14,4,4.30,1.30,57,12,Intel Smart Cache,96,"Up to LPDDR5/x 7467 MT/s, Up to DDR5 5600 MT/s",N/A,Intel Graphics
Core Ultra 5 134U,Launched,Q4'23,Meteor Lake,12,2,14,4,4.40,0.70,30,12,Intel Smart Cache,64,Up to LPDDR5/x 6400 MT/s,N/A,Intel Graphics
Core Ultra 5 135H,Launched,Q4'23,Meteor Lake,14,4,18,4,4.60,1.70,115,18,Intel Smart Cache,96,"Up to LPDDR5/x 7467 MT/s, Up to DDR5 5600 MT/s",N/A,Intel Arc Graphics
Core Ultra 5 135U,Launched,Q4'23,Meteor Lake,12,2,14,4,4.40,1.60,57,12,Intel Smart Cache,96,"Up to LPDDR5/x 7467 MT/s, Up to DDR5 5600 MT/s",N/A,Intel Graphics
Core Ultra 7 155H,Launched,Q4'23,Meteor Lake,16,6,22,4,4.80,1.40,115,24,Intel Smart Cache,96,"Up to LPDDR5/x 7467 MT/s, Up to DDR5 5600 MT/s",N/A,Intel Arc Graphics
Core Ultra 7 155U,Launched,Q4'23,Meteor Lake,12,2,14,4,4.80,1.70,57,12,Intel Smart Cache,96,"Up to LPDDR5/x 7467 MT/s,Up to DDR5 5600 MT/s",N/A,Intel Graphics
Core Ultra 7 164U,Launched,Q4'23,Meteor Lake,12,2,14,4,4.80,1.10,30,12,Intel Smart Cache,64,Up to LPDDR5/x 6400 MT/s,N/A,Intel Graphics
Core Ultra 7 165H,Launched,Q4'23,Meteor Lake,16,6,22,4,5.00,1.40,115,24,Intel Smart Cache,96,"Up to LPDDR5/x 7467 MT/s, Up to DDR5 5600 MT/s",N/A,Intel Arc Graphics
Core Ultra 7 165U,Launched,Q4'23,Meteor Lake,12,2,14,4,4.90,1.70,57,12,Intel Smart Cache,96,"Up to LPDDR5/x 7467 MT/s, Up to DDR5 5600 MT/s",N/A,Intel Graphics
Core Ultra 9 185H,Launched,Q4'23,Meteor Lake,16,6,22,4,5.10,2.30,115,24,Intel Smart Cache,96,"Up to LPDDR5/x 7467 MT/s, Up to DDR5 5600 MT/s",N/A,Intel Arc Graphics
